Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_001,,,,2023-01-22 11:54:49,2023-01-22 12:01:56,7m - 7.248s,PASSED
,,,,,,,
Test Cases/Registration/TC 01 - Registration with Debit Card,,,,2023-01-22 11:54:49,2023-01-22 11:58:05,3m - 15.941s,PASSED
Start listener action : enableSauceLabs,,,,2023-01-22 11:54:49,2023-01-22 11:54:49,0.058s,PASSED
"callTestCase(findTestCase(""Utilities/BrowserStackIntegration""), [:], STOP_ON_FAILURE)",,,,2023-01-22 11:54:51,2023-01-22 11:55:26,34.322s,PASSED
"delay(30, STOP_ON_FAILURE)",,,,2023-01-22 11:55:26,2023-01-22 11:55:56,30.110s,PASSED
"tap(findTestObject(""1.Registration and Login/Welcome Page/Button_Existing Customer""), 0)",,,,2023-01-22 11:55:56,2023-01-22 11:55:57,1.724s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-01-22 11:55:57,2023-01-22 11:55:59,2.008s,PASSED
"tap(findTestObject(""1.Registration and Login/Card Details Page/Radio Button_Debit Card""), 0)",,,,2023-01-22 11:55:59,2023-01-22 11:56:00,0.868s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-01-22 11:56:00,2023-01-22 11:56:02,2.021s,PASSED
"tap(findTestObject(""1.Registration and Login/Card Details Page/Text Box_Debit Card""), 0)",,,,2023-01-22 11:56:02,2023-01-22 11:56:03,1.032s,PASSED
"delay(1, STOP_ON_FAILURE)",,,,2023-01-22 11:56:03,2023-01-22 11:56:04,1.017s,PASSED
"setText(findTestObject(""1.Registration and Login/Card Details Page/Text Box_Debit Card Entry""), ""5244550100131209"", 0)",,,,2023-01-22 11:56:04,2023-01-22 11:56:05,1.048s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-01-22 11:56:05,2023-01-22 11:56:07,2.026s,PASSED
"tap(findTestObject(""1.Registration and Login/Card Details Page/Text Box_Card Pin""), 0)",,,,2023-01-22 11:56:07,2023-01-22 11:56:08,0.820s,PASSED
"delay(1, STOP_ON_FAILURE)",,,,2023-01-22 11:56:08,2023-01-22 11:56:09,1.013s,PASSED
"setText(findTestObject(""1.Registration and Login/Card Details Page/Text Box_Card Pin""), ""1234"", 0)",,,,2023-01-22 11:56:09,2023-01-22 11:56:10,1.139s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-01-22 11:56:10,2023-01-22 11:56:12,2.018s,PASSED
"tap(findTestObject(""1.Registration and Login/Card Details Page/Button_Next on Card details""), 0)",,,,2023-01-22 11:56:12,2023-01-22 11:56:13,0.845s,PASSED
"delay(30, STOP_ON_FAILURE)",,,,2023-01-22 11:56:13,2023-01-22 11:56:43,30.012s,PASSED
driver = getDriver(),,,,2023-01-22 11:56:43,2023-01-22 11:56:43,0.000s,PASSED
delay(2),,,,2023-01-22 11:56:43,2023-01-22 11:56:45,2.014s,PASSED
driver.pressKey(new io.appium.java_client.android.nativekey.KeyEvent(io.appium.java_client.android.nativekey.AndroidKey.DIGIT_6)),,,,2023-01-22 11:56:45,2023-01-22 11:56:46,0.620s,PASSED
delay(2),,,,2023-01-22 11:56:46,2023-01-22 11:56:48,2.010s,PASSED
driver.pressKey(new io.appium.java_client.android.nativekey.KeyEvent(io.appium.java_client.android.nativekey.AndroidKey.DIGIT_5)),,,,2023-01-22 11:56:48,2023-01-22 11:56:48,0.156s,PASSED
delay(2),,,,2023-01-22 11:56:48,2023-01-22 11:56:50,2.019s,PASSED
driver.pressKey(new io.appium.java_client.android.nativekey.KeyEvent(io.appium.java_client.android.nativekey.AndroidKey.DIGIT_4)),,,,2023-01-22 11:56:50,2023-01-22 11:56:50,0.089s,PASSED
delay(2),,,,2023-01-22 11:56:50,2023-01-22 11:56:52,2.022s,PASSED
driver.pressKey(new io.appium.java_client.android.nativekey.KeyEvent(io.appium.java_client.android.nativekey.AndroidKey.DIGIT_3)),,,,2023-01-22 11:56:52,2023-01-22 11:56:53,0.755s,PASSED
delay(2),,,,2023-01-22 11:56:53,2023-01-22 11:56:55,2.016s,PASSED
driver.pressKey(new io.appium.java_client.android.nativekey.KeyEvent(io.appium.java_client.android.nativekey.AndroidKey.DIGIT_2)),,,,2023-01-22 11:56:55,2023-01-22 11:56:55,0.101s,PASSED
delay(2),,,,2023-01-22 11:56:55,2023-01-22 11:56:57,2.028s,PASSED
driver.pressKey(new io.appium.java_client.android.nativekey.KeyEvent(io.appium.java_client.android.nativekey.AndroidKey.DIGIT_1)),,,,2023-01-22 11:56:57,2023-01-22 11:56:57,0.078s,PASSED
delay(2),,,,2023-01-22 11:56:57,2023-01-22 11:56:59,2.013s,PASSED
driver.pressKey(new io.appium.java_client.android.nativekey.KeyEvent(io.appium.java_client.android.nativekey.AndroidKey.ENTER)),,,,2023-01-22 11:56:59,2023-01-22 11:56:59,0.081s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-22 11:56:59,2023-01-22 11:57:04,5.020s,PASSED
"tap(findTestObject(""1.Registration and Login/OTP Page/Button_Verify OTP""), 0)",,,,2023-01-22 11:57:04,2023-01-22 11:57:05,0.938s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-22 11:57:05,2023-01-22 11:57:10,5.005s,PASSED
"tap(findTestObject(""1.Registration and Login/mPIN Page/Text Box_Create mPIN""), 0)",,,,2023-01-22 11:57:10,2023-01-22 11:57:11,0.695s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-01-22 11:57:11,2023-01-22 11:57:13,2.021s,PASSED
