Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Demo,,,,2023-02-28 12:57:38,2023-02-28 13:05:15,7m - 36.835s,FAILED
,,,,,,,
Test Cases/Demo/TC 01 - Registration with Credit Card,,,,2023-02-28 12:57:39,2023-02-28 12:59:10,1m - 30.278s,PASSED
Start listener action : enableSauceLabs,,,,2023-02-28 12:57:40,2023-02-28 12:57:40,0.058s,PASSED
"startExistingApplication(""com.cbt.ajmandigital"", CONTINUE_ON_FAILURE)",,,,2023-02-28 12:57:41,2023-02-28 12:58:11,30.163s,PASSED
"waitForElementPresent(findTestObject(""1.Registration and Login/Welcome Page/button_Already a Customer""), 0)",,,,2023-02-28 12:58:11,2023-02-28 12:58:12,1.426s,PASSED
"tap(findTestObject(""1.Registration and Login/Welcome Page/button_Already a Customer""), 0)",,,,2023-02-28 12:58:12,2023-02-28 12:58:13,0.812s,PASSED
"waitForElementPresent(findTestObject(""1.Registration and Login/Card Details Page/Radio Button_Debit Card""), 0)",,,,2023-02-28 12:58:13,2023-02-28 12:58:15,1.563s,PASSED
"tap(findTestObject(""1.Registration and Login/Card Details Page/Radio Button_Debit Card""), 0)",,,,2023-02-28 12:58:15,2023-02-28 12:58:17,1.887s,PASSED
"setText(findTestObject(""1.Registration and Login/Card Details Page/Text Box_Card Number""), ""5244550100131688"", 0)",,,,2023-02-28 12:58:17,2023-02-28 12:58:18,1.566s,PASSED
"setText(findTestObject(""1.Registration and Login/Card Details Page/Text Box_Card Pin""), ""4631"", 0)",,,,2023-02-28 12:58:18,2023-02-28 12:58:19,0.946s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-02-28 12:58:19,2023-02-28 12:58:21,2.074s,PASSED
takeScreenshot(),,,,2023-02-28 12:58:21,2023-02-28 12:58:22,0.892s,PASSED
"tap(findTestObject(""1.Registration and Login/Card Details Page/Button_Next on Card details""), 0)",,,,2023-02-28 12:58:22,2023-02-28 12:58:23,0.946s,PASSED
"waitForElementPresent(findTestObject(""1.Registration and Login/OTP Page/label_Enter OTP""), 60)",,,,2023-02-28 12:58:23,2023-02-28 12:58:35,11.515s,PASSED
