Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BS_Demo,,,,2023-03-06 16:23:51,2023-03-06 16:37:53,14m - 2.272s,PASSED
,,,,,,,
Test Cases/Registration/TC 01 - Registration with Card,,,,2023-03-06 16:23:51,2023-03-06 16:26:08,2m - 16.740s,PASSED
Start listener action : enableSauceLabs,,,,2023-03-06 16:23:51,2023-03-06 16:23:51,0.030s,PASSED
"startExistingApplication(""com.cbt.ajmandigital"", CONTINUE_ON_FAILURE)",,,,2023-03-06 16:23:53,2023-03-06 16:24:20,27.594s,PASSED
"waitForElementPresent(findTestObject(""1.Registration and Login/Welcome Page/button_Already a Customer""), 60)",,,,2023-03-06 16:24:20,2023-03-06 16:25:21,1m - 0.282s,PASSED
"tap(findTestObject(""1.Registration and Login/Welcome Page/button_Already a Customer""), 0)",,,,2023-03-06 16:25:21,2023-03-06 16:25:21,0.363s,PASSED
"waitForElementPresent(findTestObject(""1.Registration and Login/Card Details Page/Radio Button_Debit Card""), 0)",,,,2023-03-06 16:25:21,2023-03-06 16:25:22,1.214s,PASSED
"if (cardType.equals(""Debit Card""))",,,,2023-03-06 16:25:22,2023-03-06 16:25:23,0.390s,PASSED
"setText(findTestObject(""1.Registration and Login/Card Details Page/Text Box_Card Number""), cardNumber, 0)",,,,2023-03-06 16:25:23,2023-03-06 16:25:23,0.758s,PASSED
"setText(findTestObject(""1.Registration and Login/Card Details Page/Text Box_Card Pin""), cardPin, 0)",,,,2023-03-06 16:25:23,2023-03-06 16:25:24,0.915s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-03-06 16:25:24,2023-03-06 16:25:26,2.060s,PASSED
takeScreenshot(),,,,2023-03-06 16:25:26,2023-03-06 16:25:27,1.050s,PASSED
"tap(findTestObject(""1.Registration and Login/Card Details Page/Button_Next on Card details""), 0)",,,,2023-03-06 16:25:27,2023-03-06 16:25:28,0.870s,PASSED
"waitForElementPresent(findTestObject(""1.Registration and Login/OTP Page/label_Enter OTP""), 0)",,,,2023-03-06 16:25:28,2023-03-06 16:25:37,8.643s,PASSED
"callTestCase(findTestCase(""Utilities/Enter_OTP""), [:], CONTINUE_ON_FAILURE)",,,,2023-03-06 16:25:37,2023-03-06 16:25:45,8.144s,PASSED
"tap(findTestObject(""1.Registration and Login/OTP Page/Button_Verify OTP""), 0)",,,,2023-03-06 16:25:45,2023-03-06 16:25:46,0.794s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-03-06 16:25:46,2023-03-06 16:25:51,5.012s,PASSED
"setText(findTestObject(""1.Registration and Login/mPIN Page/Text Box_Create mPIN""), mPIN, 0)",,,,2023-03-06 16:25:51,2023-03-06 16:25:51,0.415s,PASSED
"setText(findTestObject(""1.Registration and Login/mPIN Page/Text Box_Confirm mPIN Entry""), mPIN, 0)",,,,2023-03-06 16:25:51,2023-03-06 16:25:52,0.896s,PASSED
"tap(findTestObject(""1.Registration and Login/mPIN Page/Button_Next mPIN Page""), 0)",,,,2023-03-06 16:25:52,2023-03-06 16:25:53,1.277s,PASSED
"waitForElementPresent(findTestObject(""1.Registration and Login/mPIN Page/Button_Maybe later Biometric""), 0)",,,,2023-03-06 16:25:53,2023-03-06 16:25:55,1.221s,PASSED
"tap(findTestObject(""1.Registration and Login/mPIN Page/Button_Maybe later Biometric""), 0)",,,,2023-03-06 16:25:55,2023-03-06 16:25:56,1.210s,PASSED
"if (waitForElementPresent(findTestObject(""2.Dashboard/Accounts/AccountDetails""), 0))",,,,2023-03-06 16:25:56,2023-03-06 16:26:00,3.935s,PASSED
takeScreenshot(),,,,2023-03-06 16:26:00,2023-03-06 16:26:01,0.917s,PASSED
"callTestCase(findTestCase(""Utilities/Logout""), [:], CONTINUE_ON_FAILURE)",,,,2023-03-06 16:26:01,2023-03-06 16:26:08,7.105s,PASSED
Start listener action : autoUpdateJobStatus,,,,2023-03-06 16:26:08,2023-03-06 16:26:08,0.001s,PASSED
,,,,,,,
Test Cases/Login/TC 01 - Login with mPIN,,,,2023-03-06 16:26:08,2023-03-06 16:26:50,42.247s,PASSED
Start listener action : enableSauceLabs,,,,2023-03-06 16:26:08,2023-03-06 16:26:08,0.001s,PASSED
"startExistingApplication(""com.cbt.ajmandigital"", CONTINUE_ON_FAILURE)",,,,2023-03-06 16:26:09,2023-03-06 16:26:28,19.340s,PASSED
"waitForElementPresent(findTestObject(""1.Registration and Login/Login Page/button_ForgotmPIN""), 0)",,,,2023-03-06 16:26:28,2023-03-06 16:26:29,0.600s,PASSED
"callTestCase(findTestCase(""Utilities/Enter_mPIN""), [:], STOP_ON_FAILURE)",,,,2023-03-06 16:26:29,2023-03-06 16:26:34,5.283s,PASSED
