Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Demo_02,,,,2023-03-07 23:25:56,2023-03-07 23:31:53,5m - 56.800s,PASSED
,,,,,,,
Test Cases/Payments/TC 01 - New Bill Payment,,,,2023-03-07 23:25:57,2023-03-07 23:28:07,2m - 10.262s,PASSED
Start listener action : enableSauceLabs,,,,2023-03-07 23:25:57,2023-03-07 23:25:57,0.065s,PASSED
"callTestCase(findTestCase(""Utilities/Login""), [:], CONTINUE_ON_FAILURE)",,,,2023-03-07 23:25:59,2023-03-07 23:26:41,42.523s,PASSED
rowNum = rowNum.toInteger() + 1,,,,2023-03-07 23:26:41,2023-03-07 23:26:41,0.002s,PASSED
"tap(findTestObject(""3.Payments/Payments_page/tab_PAY""), 0)",,,,2023-03-07 23:26:41,2023-03-07 23:26:42,0.503s,PASSED
"tap(findTestObject(""3.Payments/Payments_page/tab_Bills""), 0)",,,,2023-03-07 23:26:42,2023-03-07 23:26:44,2.137s,PASSED
"tap(findTestObject(""3.Payments/Payments_page/button_NewBill""), 0)",,,,2023-03-07 23:26:44,2023-03-07 23:26:45,0.975s,PASSED
delay(2),,,,2023-03-07 23:26:45,2023-03-07 23:26:47,2.039s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Label_Select Biller"", [""biller"":biller]), 0)",,,,2023-03-07 23:26:47,2023-03-07 23:26:48,1.293s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Label_Select Sub Biller"", [""subBiller"":subBiller]), 0)",,,,2023-03-07 23:26:48,2023-03-07 23:26:54,5.399s,PASSED
"delay(5, CONTINUE_ON_FAILURE)",,,,2023-03-07 23:26:54,2023-03-07 23:26:59,5.013s,PASSED
"callTestCase(findTestCase(""Utilities/Account Selection Based on AccountNumber""), [""accountNumber"":accountNumber], OPTIONAL)",,,,2023-03-07 23:26:59,2023-03-07 23:27:00,1.092s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Text Box_Account Number Entry""), 0)",,,,2023-03-07 23:27:00,2023-03-07 23:27:00,0.442s,PASSED
"setText(findTestObject(""3.Payments/Pay To New Biller/Text Box_Account Number Entry""), consumerNumber, 0)",,,,2023-03-07 23:27:00,2023-03-07 23:27:01,1.178s,PASSED
pressBack(),,,,2023-03-07 23:27:01,2023-03-07 23:27:02,0.724s,PASSED
"if (biller == ""Salik"")",,,,2023-03-07 23:27:02,2023-03-07 23:27:02,0.001s,PASSED
takeScreenshot(),,,,2023-03-07 23:27:02,2023-03-07 23:27:03,0.941s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Button_Next""), 0)",,,,2023-03-07 23:27:03,2023-03-07 23:27:04,0.978s,PASSED
"waitForElementPresent(findTestObject(""3.Payments/Amount/Text Box_Amount Entry""), 0, OPTIONAL)",,,,2023-03-07 23:27:04,2023-03-07 23:27:08,4.166s,PASSED
due = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2023-03-07 23:27:08,2023-03-07 23:27:08,0.000s,PASSED
"if (paymentType.equals(""partial""))",,,,2023-03-07 23:27:08,2023-03-07 23:27:10,1.837s,PASSED
takeScreenshot(),,,,2023-03-07 23:27:10,2023-03-07 23:27:11,0.734s,PASSED
"tap(findTestObject(""3.Payments/Amount/Button_Next""), 2, OPTIONAL)",,,,2023-03-07 23:27:11,2023-03-07 23:27:12,1.233s,PASSED
"waitForElementPresent(findTestObject(""3.Payments/Payment Confirmation Page/Button_Confirm""), 0)",,,,2023-03-07 23:27:12,2023-03-07 23:27:12,0.242s,PASSED
"tap(findTestObject(""3.Payments/Payment Confirmation Page/Button_Confirm""), 0)",,,,2023-03-07 23:27:12,2023-03-07 23:27:14,1.321s,PASSED
delay(5),,,,2023-03-07 23:27:14,2023-03-07 23:27:19,5.016s,PASSED
"callTestCase(findTestCase(""Utilities/Enter_mPIN""), [:], STOP_ON_FAILURE)",,,,2023-03-07 23:27:19,2023-03-07 23:27:23,4.047s,PASSED
"tap(findTestObject(""3.Payments/Payment Confirmation Page/Button_Verify""), 0)",,,,2023-03-07 23:27:23,2023-03-07 23:27:24,0.906s,PASSED
delay(5),,,,2023-03-07 23:27:24,2023-03-07 23:27:29,5.017s,PASSED
"callTestCase(findTestCase(""Utilities/Enter_OTP""), [:], STOP_ON_FAILURE)",,,,2023-03-07 23:27:29,2023-03-07 23:27:36,7.745s,PASSED
"tap(findTestObject(""4.Transfers/Button_VerifyOTP""), 0)",,,,2023-03-07 23:27:36,2023-03-07 23:27:37,0.817s,PASSED
"waitForElementPresent(findTestObject(""3.Payments/Payment Success page/Button_Back To Payment""), 180)",,,,2023-03-07 23:27:37,2023-03-07 23:27:53,15.478s,PASSED
takeScreenshot(),,,,2023-03-07 23:27:53,2023-03-07 23:27:53,0.710s,PASSED
