Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Demo,,,,2023-03-08 12:47:21,2023-03-08 12:53:36,6m - 14.886s,PASSED
,,,,,,,
Test Cases/Payments/TC 01 - New Bill Payment,,,,2023-03-08 12:47:22,2023-03-08 12:50:03,2m - 41.033s,PASSED
Start listener action : enableSauceLabs,,,,2023-03-08 12:47:22,2023-03-08 12:47:22,0.056s,PASSED
"callTestCase(findTestCase(""Utilities/Login""), [:], CONTINUE_ON_FAILURE)",,,,2023-03-08 12:47:24,2023-03-08 12:48:36,1m - 11.738s,PASSED
"dirName = System.getProperty(""user.dir"")",,,,2023-03-08 12:48:36,2023-03-08 12:48:36,0.000s,PASSED
filePath = dirName + ExcelPath,,,,2023-03-08 12:48:36,2023-03-08 12:48:36,0.004s,PASSED
rowNum = rowNum.toInteger() + 1,,,,2023-03-08 12:48:36,2023-03-08 12:48:36,0.003s,PASSED
"tap(findTestObject(""3.Payments/Payments_page/tab_PAY""), 0)",,,,2023-03-08 12:48:36,2023-03-08 12:48:36,0.412s,PASSED
"tap(findTestObject(""3.Payments/Payments_page/tab_Bills""), 0)",,,,2023-03-08 12:48:36,2023-03-08 12:48:38,2.378s,PASSED
"tap(findTestObject(""3.Payments/Payments_page/button_NewBill""), 0)",,,,2023-03-08 12:48:38,2023-03-08 12:48:40,1.567s,PASSED
delay(2),,,,2023-03-08 12:48:40,2023-03-08 12:48:42,2.031s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Label_Select Biller"", [""biller"":biller]), 0)",,,,2023-03-08 12:48:42,2023-03-08 12:48:43,1.005s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Label_Select Sub Biller"", [""subBiller"":subBiller]), 0)",,,,2023-03-08 12:48:43,2023-03-08 12:48:49,5.742s,PASSED
"delay(5, CONTINUE_ON_FAILURE)",,,,2023-03-08 12:48:49,2023-03-08 12:48:54,5.013s,PASSED
"callTestCase(findTestCase(""Utilities/Account Selection Based on AccountNumber""), [""accountNumber"":accountNumber], OPTIONAL)",,,,2023-03-08 12:48:54,2023-03-08 12:48:55,1.146s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Text Box_Account Number Entry""), 0)",,,,2023-03-08 12:48:55,2023-03-08 12:48:55,0.416s,PASSED
"setText(findTestObject(""3.Payments/Pay To New Biller/Text Box_Account Number Entry""), consumerNumber, 0)",,,,2023-03-08 12:48:55,2023-03-08 12:48:57,1.152s,PASSED
pressBack(),,,,2023-03-08 12:48:57,2023-03-08 12:48:57,0.728s,PASSED
"if (biller == ""Salik"")",,,,2023-03-08 12:48:57,2023-03-08 12:48:57,0.000s,PASSED
takeScreenshot(),,,,2023-03-08 12:48:57,2023-03-08 12:48:58,1.224s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Button_Next""), 0)",,,,2023-03-08 12:48:58,2023-03-08 12:48:59,0.836s,PASSED
"waitForElementPresent(findTestObject(""3.Payments/Amount/Text Box_Amount Entry""), 0, OPTIONAL)",,,,2023-03-08 12:48:59,2023-03-08 12:49:07,7.697s,PASSED
due = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2023-03-08 12:49:07,2023-03-08 12:49:07,0.000s,PASSED
"if (paymentType.equals(""partial""))",,,,2023-03-08 12:49:07,2023-03-08 12:49:09,1.916s,PASSED
takeScreenshot(),,,,2023-03-08 12:49:09,2023-03-08 12:49:10,0.723s,PASSED
"tap(findTestObject(""3.Payments/Amount/Button_Next""), 2, OPTIONAL)",,,,2023-03-08 12:49:10,2023-03-08 12:49:11,1.231s,PASSED
"waitForElementPresent(findTestObject(""3.Payments/Payment Confirmation Page/Button_Confirm""), 0)",,,,2023-03-08 12:49:11,2023-03-08 12:49:11,0.286s,PASSED
"tap(findTestObject(""3.Payments/Payment Confirmation Page/Button_Confirm""), 0)",,,,2023-03-08 12:49:11,2023-03-08 12:49:12,1.285s,PASSED
delay(5),,,,2023-03-08 12:49:12,2023-03-08 12:49:17,5.013s,PASSED
"callTestCase(findTestCase(""Utilities/Enter_mPIN""), [:], STOP_ON_FAILURE)",,,,2023-03-08 12:49:17,2023-03-08 12:49:21,3.912s,PASSED
"tap(findTestObject(""3.Payments/Payment Confirmation Page/Button_Verify""), 0)",,,,2023-03-08 12:49:21,2023-03-08 12:49:22,0.808s,PASSED
delay(5),,,,2023-03-08 12:49:22,2023-03-08 12:49:27,5.014s,PASSED
"callTestCase(findTestCase(""Utilities/Enter_OTP""), [:], STOP_ON_FAILURE)",,,,2023-03-08 12:49:27,2023-03-08 12:49:35,7.854s,PASSED
"tap(findTestObject(""4.Transfers/Button_VerifyOTP""), 0)",,,,2023-03-08 12:49:35,2023-03-08 12:49:37,1.434s,PASSED
"waitForElementPresent(findTestObject(""3.Payments/Payment Success page/Button_Back To Payment""), 180)",,,,2023-03-08 12:49:37,2023-03-08 12:49:48,11.089s,PASSED
takeScreenshot(),,,,2023-03-08 12:49:48,2023-03-08 12:49:49,1.243s,PASSED
"if (verifyElementExist(findTestObject(""3.Payments/Payment Success page/Button_Share""), 5, CONTINUE_ON_FAILURE))",,,,2023-03-08 12:49:49,2023-03-08 12:49:51,2.233s,PASSED
"tap(findTestObject(""3.Payments/Payment Success page/Button_Back To Payment""), 0)",,,,2023-03-08 12:49:51,2023-03-08 12:49:52,0.984s,PASSED
"callTestCase(findTestCase(""Utilities/Logout""), [:], CONTINUE_ON_FAILURE)",,,,2023-03-08 12:49:52,2023-03-08 12:50:03,11.062s,PASSED
Start listener action : autoUpdateJobStatus,,,,2023-03-08 12:50:03,2023-03-08 12:50:03,0.000s,PASSED
,,,,,,,
Test Cases/Payments/TC 01 - New Bill Payment,,,,2023-03-08 12:50:03,2023-03-08 12:51:51,1m - 48.092s,PASSED
Start listener action : enableSauceLabs,,,,2023-03-08 12:50:03,2023-03-08 12:50:03,0.000s,PASSED
"callTestCase(findTestCase(""Utilities/Login""), [:], CONTINUE_ON_FAILURE)",,,,2023-03-08 12:50:03,2023-03-08 12:50:34,30.650s,PASSED
"dirName = System.getProperty(""user.dir"")",,,,2023-03-08 12:50:34,2023-03-08 12:50:34,0.000s,PASSED
filePath = dirName + ExcelPath,,,,2023-03-08 12:50:34,2023-03-08 12:50:34,0.000s,PASSED
rowNum = rowNum.toInteger() + 1,,,,2023-03-08 12:50:34,2023-03-08 12:50:34,0.000s,PASSED
"tap(findTestObject(""3.Payments/Payments_page/tab_PAY""), 0)",,,,2023-03-08 12:50:34,2023-03-08 12:50:35,0.873s,PASSED
"tap(findTestObject(""3.Payments/Payments_page/tab_Bills""), 0)",,,,2023-03-08 12:50:35,2023-03-08 12:50:38,2.809s,PASSED
"tap(findTestObject(""3.Payments/Payments_page/button_NewBill""), 0)",,,,2023-03-08 12:50:38,2023-03-08 12:50:39,0.850s,PASSED
delay(2),,,,2023-03-08 12:50:39,2023-03-08 12:50:41,2.018s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Label_Select Biller"", [""biller"":biller]), 0)",,,,2023-03-08 12:50:41,2023-03-08 12:50:42,0.917s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Label_Select Sub Biller"", [""subBiller"":subBiller]), 0)",,,,2023-03-08 12:50:42,2023-03-08 12:50:42,0.944s,PASSED
"delay(5, CONTINUE_ON_FAILURE)",,,,2023-03-08 12:50:42,2023-03-08 12:50:47,5.008s,PASSED
"callTestCase(findTestCase(""Utilities/Account Selection Based on AccountNumber""), [""accountNumber"":accountNumber], OPTIONAL)",,,,2023-03-08 12:50:47,2023-03-08 12:50:52,4.113s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Text Box_Account Number Entry""), 0)",,,,2023-03-08 12:50:52,2023-03-08 12:50:52,0.449s,PASSED
"setText(findTestObject(""3.Payments/Pay To New Biller/Text Box_Account Number Entry""), consumerNumber, 0)",,,,2023-03-08 12:50:52,2023-03-08 12:50:52,0.428s,PASSED
pressBack(),,,,2023-03-08 12:50:52,2023-03-08 12:50:53,0.721s,PASSED
"if (biller == ""Salik"")",,,,2023-03-08 12:50:53,2023-03-08 12:50:53,0.001s,PASSED
takeScreenshot(),,,,2023-03-08 12:50:53,2023-03-08 12:50:55,1.507s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Button_Next""), 0)",,,,2023-03-08 12:50:55,2023-03-08 12:50:56,0.865s,PASSED
"waitForElementPresent(findTestObject(""3.Payments/Amount/Text Box_Amount Entry""), 0, OPTIONAL)",,,,2023-03-08 12:50:56,2023-03-08 12:51:00,4.057s,PASSED
due = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2023-03-08 12:51:00,2023-03-08 12:51:00,0.000s,PASSED
